CVE_AGEB,NOM_MUN,VIVPAR_DES,VIVTOT,TVIVPAR,VIVPAR_HAB,VPH_PISOTI,VPH_NODREN,VPH_S_ELEC,VPH_SNBIEN,VPH_1CUART,VPH_LETR,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques
2604300011246,Nogales,8.0,61,59.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,43.0,39.0,32.0,52.0,10.76,1,1,0,0,0,0
2604300011250,Nogales,18.0,373,313.0,293.0,3.0,3.0,,0.0,,0.0,0.92,287.0,258.0,213.0,346.0,11.03,0,0,0,0,0,0
2604300011265,Nogales,96.0,653,621.0,509.0,14.0,6.0,4.0,0.0,27.0,4.0,1.08,345.0,377.0,213.0,519.0,10.06,0,2,0,0,0,0
260430001127A,Nogales,115.0,921,886.0,756.0,21.0,17.0,4.0,3.0,74.0,8.0,1.19,489.0,497.0,303.0,740.0,9.64,0,1,0,0,0,0
2604300011284,Nogales,,10,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,3.0,,0.0,7.0,7.93,0,0,0,0,0,0
2604300011299,Nogales,0.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,6.0,6.0,3.0,6.0,10.54,0,0,0,0,0,0
2604300011301,Nogales,28.0,162,158.0,128.0,17.0,,,3.0,22.0,,1.26,88.0,69.0,52.0,123.0,9.64,0,1,0,0,0,0
2604300011316,Nogales,12.0,220,189.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,189.0,185.0,153.0,204.0,12.7,0,0,0,0,0,0
2604300011320,Nogales,3.0,70,68.0,64.0,0.0,0.0,0.0,0.0,,0.0,0.98,51.0,50.0,34.0,65.0,11.36,0,0,0,0,0,0
2604300011354,Nogales,9.0,160,151.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,126.0,107.0,85.0,143.0,11.34,0,0,0,0,0,0
2604300011369,Nogales,14.0,47,45.0,31.0,4.0,0.0,,,5.0,,1.48,17.0,18.0,7.0,28.0,9.04,0,0,0,0,0,0
2604300011373,Nogales,51.0,216,207.0,149.0,9.0,12.0,,0.0,25.0,15.0,1.38,84.0,89.0,42.0,146.0,9.27,0,0,0,0,0,0
2604300011388,Nogales,9.0,43,41.0,29.0,,0.0,,0.0,,,1.34,14.0,11.0,7.0,27.0,8.38,0,0,0,0,0,0
2604300011392,Nogales,,62,57.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,53.0,51.0,39.0,60.0,12.54,0,1,0,0,0,0
2604300011405,Nogales,140.0,414,398.0,250.0,18.0,5.0,3.0,0.0,23.0,3.0,1.18,170.0,174.0,122.0,251.0,9.64,0,0,0,0,0,0
260430001141A,Nogales,0.0,39,36.0,36.0,,0.0,0.0,0.0,9.0,,1.28,19.0,23.0,9.0,38.0,9.04,0,0,0,0,0,0
2604300011424,Nogales,182.0,1143,1034.0,821.0,59.0,66.0,11.0,3.0,105.0,35.0,1.21,540.0,580.0,295.0,865.0,9.36,2,1,0,0,0,0
2604300011439,Nogales,70.0,778,710.0,626.0,16.0,28.0,5.0,3.0,43.0,8.0,1.04,479.0,452.0,289.0,658.0,10.22,0,2,0,0,0,0
2604300011443,Nogales,66.0,636,499.0,425.0,20.0,43.0,,0.0,56.0,13.0,1.32,356.0,342.0,196.0,536.0,9.68,0,0,0,0,0,0
2604300011458,Nogales,122.0,607,536.0,399.0,49.0,88.0,9.0,5.0,64.0,30.0,1.26,280.0,285.0,139.0,438.0,9.06,0,0,0,0,0,0
2604300011462,Nogales,89.0,794,774.0,659.0,18.0,13.0,9.0,4.0,91.0,16.0,1.16,391.0,400.0,218.0,632.0,9.59,2,0,0,0,0,0
2604300011477,Nogales,106.0,908,735.0,612.0,46.0,46.0,6.0,9.0,104.0,31.0,1.2,502.0,422.0,281.0,728.0,9.73,0,3,0,0,0,0
2604300011481,Nogales,31.0,266,265.0,233.0,0.0,0.0,0.0,0.0,,0.0,0.92,207.0,199.0,165.0,234.0,12.85,0,0,0,0,0,0
2604300011496,Nogales,41.0,525,456.0,403.0,0.0,0.0,3.0,,0.0,0.0,1.02,356.0,303.0,239.0,455.0,11.29,0,0,0,0,0,0
2604300011513,Nogales,,13,12.0,10.0,,0.0,0.0,0.0,0.0,0.0,1.14,11.0,5.0,4.0,11.0,9.04,0,0,0,0,0,0
2604300011528,Nogales,11.0,31,31.0,20.0,0.0,7.0,0.0,0.0,,,1.23,8.0,12.0,4.0,19.0,9.61,0,1,0,0,0,0
2604300011547,Nogales,,5,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,1.45,,3.0,,4.0,10.09,0,0,0,0,0,0
2604300011551,Nogales,7.0,34,33.0,25.0,3.0,0.0,0.0,0.0,,0.0,1.18,15.0,13.0,11.0,24.0,9.41,0,0,0,0,0,0
2604300011566,Nogales,92.0,1802,1793.0,1643.0,,0.0,4.0,0.0,,0.0,1.01,1254.0,1092.0,854.0,1618.0,11.2,0,2,0,0,0,0
2604300011570,Nogales,9.0,131,119.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,80.0,72.0,52.0,118.0,10.76,0,0,0,0,0,0
2604300011585,Nogales,44.0,479,456.0,410.0,0.0,0.0,0.0,,0.0,0.0,1.06,324.0,282.0,221.0,421.0,11.28,0,0,0,0,0,0
260430001159A,Nogales,0.0,39,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,36.0,38.0,32.0,39.0,14.89,0,0,0,0,0,0
2604300011602,Nogales,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2604300011617,Nogales,,6,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,3.0,0.0,5.0,7.25,0,0,0,0,0,0
2604300011621,Nogales,45.0,552,539.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,421.0,379.0,330.0,489.0,12.35,7,2,0,0,0,0
2604300011636,Nogales,6.0,30,27.0,21.0,8.0,0.0,,0.0,6.0,,1.31,9.0,14.0,4.0,18.0,8.89,0,0,0,0,0,0
2604300011655,Nogales,22.0,177,161.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,136.0,135.0,109.0,153.0,12.52,0,0,0,0,0,0
260430001166A,Nogales,5.0,60,56.0,50.0,4.0,10.0,4.0,,4.0,,1.32,25.0,32.0,17.0,47.0,9.03,0,0,0,0,0,0
2604300011674,Nogales,10.0,295,284.0,271.0,,0.0,0.0,0.0,0.0,0.0,1.0,237.0,232.0,196.0,281.0,11.72,0,0,0,0,0,0
2604300011689,Nogales,14.0,204,191.0,177.0,,0.0,,0.0,0.0,0.0,1.13,160.0,153.0,97.0,189.0,11.08,0,0,0,0,0,0
2604300011693,Nogales,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2604300011706,Nogales,115.0,1564,1539.0,1406.0,4.0,0.0,,,,0.0,1.05,1211.0,1027.0,817.0,1419.0,11.12,0,0,0,0,0,0
2604300011710,Nogales,,1,,,,,,,,,,,,,,,1,0,0,0,0,0
2604300011725,Nogales,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
260430001173A,Nogales,4.0,29,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,23.0,22.0,19.0,25.0,13.52,0,0,0,0,0,0
2604300011744,Nogales,8.0,79,71.0,60.0,0.0,,0.0,0.0,,,1.06,55.0,56.0,34.0,67.0,10.17,0,0,0,0,0,0
2604300011759,Nogales,9.0,65,52.0,43.0,6.0,,3.0,0.0,5.0,5.0,1.08,38.0,36.0,19.0,55.0,11.07,0,0,0,0,0,0
2604300011763,Nogales,133.0,664,606.0,462.0,6.0,3.0,,3.0,20.0,,1.01,337.0,332.0,174.0,500.0,9.15,0,0,0,0,0,0
2604300011778,Nogales,123.0,733,681.0,538.0,7.0,6.0,3.0,,42.0,,1.0,393.0,382.0,219.0,562.0,9.45,0,0,0,0,0,0
2604300011782,Nogales,156.0,2681,2523.0,2327.0,6.0,0.0,,,27.0,0.0,0.95,2049.0,1812.0,1347.0,2447.0,11.36,0,4,0,0,0,0
2604300011797,Nogales,113.0,1070,1028.0,909.0,12.0,3.0,4.0,8.0,110.0,3.0,0.83,669.0,572.0,385.0,909.0,10.2,3,0,0,0,0,0
260430001180A,Nogales,4.0,10,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.0,3.0,0.0,5.0,9.9,0,0,0,0,0,0
2604300011829,Nogales,26.0,179,156.0,129.0,12.0,8.0,5.0,,18.0,3.0,1.32,69.0,83.0,36.0,142.0,9.18,0,0,0,0,0,0
2604300011833,Nogales,16.0,537,530.0,496.0,4.0,0.0,0.0,0.0,,0.0,1.12,414.0,354.0,251.0,496.0,11.07,0,0,0,0,0,0
