CVE_AGEB,NOM_MUN,VIVPAR_DES,VIVTOT,TVIVPAR,VIVPAR_HAB,VPH_PISOTI,VPH_NODREN,VPH_S_ELEC,VPH_SNBIEN,VPH_1CUART,VPH_LETR,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques,TASA_PISO_TIERRA,TASA_SIN_DRENAJE,TASA_SIN_ELEC,TASA_SIN_BIENES,TASA_1_CUARTO,TASA_LETRINA,HACINAMIENTO,SCORE_REZAGO,TASA_ABANDONO,abandono_alto
2602900013421,Guaymas,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2602900013436,Guaymas,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2602900013440,Guaymas,16.0,172,171.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,75.0,106.0,82.0,144.0,11.93,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.127143,0.093023,0
2602900013455,Guaymas,18.0,182,179.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,118.0,88.0,82.0,151.0,11.48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.138571,0.098901,0
260290001346A,Guaymas,,2,,,0.0,0.0,0.0,0.0,3.0,0.0,0.89,115.0,102.5,87.0,150.5,10.254999999999999,0,0,0,0,0,0,,,,,,,,,,0
2602900013474,Guaymas,,1,,,0.0,0.0,0.0,0.0,3.0,0.0,0.89,115.0,102.5,87.0,150.5,10.254999999999999,0,0,0,0,0,0,,,,,,,,,,0
2602900013489,Guaymas,,6,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.75,0.0,0.0,0.0,150.5,4.6,0,0,0,0,0,0,0.0,0.0,,,,0.0,1.75,0.4375,,0
2602900013493,Guaymas,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2602900013578,Guaymas,,103,101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,64.0,61.0,43.0,100.0,11.39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.135714,,0
2602900013582,Guaymas,31.0,411,383.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,111.0,166.0,117.0,344.0,10.21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.16,0.075426,0
2602900013597,Guaymas,37.0,292,276.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,71.0,130.0,101.0,246.0,10.54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.147143,0.126712,0
260290001360A,Guaymas,0.0,15,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,10.0,10.0,10.0,10.0,15.15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.07,0.0,0
2602900253614,Guaymas,27.0,379,379.0,103.0,3.0,0.0,0.0,0.0,3.0,0.0,0.83,71.0,87.0,74.0,100.0,10.63,0,0,0,0,0,0,0.029126,0.0,0.0,0.0,,0.0,0.83,0.143188,0.07124,0
2602900253629,Guaymas,53.0,358,357.0,147.0,0.0,0.0,0.0,0.0,4.0,0.0,0.64,115.0,127.0,106.0,138.0,10.82,0,0,0,0,0,0,,0.0,0.0,0.0,0.027211,0.0,0.64,0.111202,0.148045,0
2602900253633,Guaymas,7.0,286,286.0,87.0,3.0,0.0,0.0,0.0,3.0,0.0,0.83,63.0,80.0,60.0,84.0,11.86,0,1,2,0,0,0,0.034483,0.0,0.0,0.0,0.034483,0.0,0.83,0.128424,0.024476,0
2602900253648,Guaymas,99.0,373,373.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,66.0,70.0,58.0,72.0,14.32,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.58,0.096667,0.265416,1
2602900253652,Guaymas,43.0,574,574.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,94.0,93.0,87.0,94.0,13.99,3,2,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.067143,0.074913,0
2602900253667,Guaymas,35.0,287,287.0,123.0,0.0,0.0,0.0,0.0,4.0,0.0,0.58,106.0,112.0,90.0,119.0,12.77,0,0,1,0,0,0,0.0,,0.0,0.0,0.03252,0.0,0.58,0.102087,0.121951,0
2602900253671,Guaymas,5.0,49,49.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.97,11.0,16.0,9.0,19.0,9.28,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.136364,0.0,0.97,0.158052,0.102041,0
2602900253686,Guaymas,18.0,268,268.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.52,31.0,31.0,29.0,35.0,14.17,0,1,0,0,0,0,,0.0,,0.0,0.078947,0.0,0.52,0.119789,0.067164,0
2602900253690,Guaymas,28.0,199,198.0,54.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,50.0,52.0,49.0,54.0,14.54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.055556,0.0,0.5,0.079365,0.140704,0
2602900253703,Guaymas,106.0,432,431.0,104.0,0.0,0.0,0.0,0.0,3.0,0.0,0.42,101.0,100.0,96.0,105.0,14.19,1,4,2,0,0,0,0.0,0.0,0.0,0.0,0.028846,0.0,0.42,0.064121,0.24537,1
2602900253718,Guaymas,48.0,460,460.0,146.0,0.0,0.0,0.0,0.0,3.0,0.0,0.49,134.0,135.0,126.0,142.0,13.73,1,1,2,0,0,0,,0.0,0.0,0.0,,0.0,0.49,0.098,0.104348,0
2602900253722,Guaymas,33.0,201,201.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,8.0,9.0,6.0,10.0,14.22,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.091429,0.164179,1
2602902021410,Guaymas,20.0,433,428.0,389.0,149.0,200.0,8.0,18.0,77.0,352.0,1.85,180.0,73.0,21.0,231.0,7.9,0,0,0,0,0,0,0.383033,0.514139,0.020566,0.046272,0.197943,0.904884,1.85,0.559548,0.046189,0
2602902021425,Guaymas,8.0,353,353.0,326.0,119.0,257.0,3.0,12.0,76.0,278.0,1.73,175.0,59.0,22.0,179.0,8.16,0,1,0,0,0,0,0.365031,0.788344,0.009202,0.03681,0.233129,0.852761,1.73,0.573611,0.022663,0
260290202143A,Guaymas,,247,247.0,232.0,67.0,203.0,0.0,6.0,57.0,200.0,1.78,123.0,44.0,14.0,150.0,8.72,0,3,0,0,0,0,0.288793,0.875,,0.025862,0.24569,0.862069,1.78,0.679569,,0
2602902022207,Guaymas,6.0,302,301.0,283.0,115.0,272.0,6.0,16.0,51.0,259.0,1.73,125.0,33.0,13.0,142.0,7.64,0,0,0,0,0,0,0.40636,0.961131,0.021201,0.056537,0.180212,0.915194,1.73,0.610091,0.019868,0
2602902022211,Guaymas,6.0,235,235.0,223.0,97.0,213.0,10.0,22.0,83.0,192.0,2.18,115.0,18.0,8.0,95.0,7.46,0,0,0,0,0,0,0.434978,0.955157,0.044843,0.098655,0.372197,0.860987,2.18,0.706688,0.025532,0
2602902022527,Guaymas,,16,16.0,15.0,4.0,15.0,0.0,0.0,6.0,14.0,2.04,6.0,0.0,87.0,7.0,8.35,0,0,0,0,0,0,0.266667,1.0,0.0,,0.4,0.933333,2.04,0.773333,,0
2602902022531,Guaymas,0.0,7,7.0,7.0,0.0,7.0,0.0,0.0,3.0,7.0,2.45,5.0,0.0,0.0,5.0,7.21,0,0,0,0,0,0,,1.0,0.0,0.0,0.428571,1.0,2.45,0.813095,0.0,0
2602902022601,Guaymas,0.0,23,23.0,21.0,14.0,21.0,0.0,0.0,7.0,8.0,2.36,0.0,0.0,0.0,7.0,6.51,0,0,0,0,0,0,0.666667,1.0,0.0,,0.333333,0.380952,2.36,0.790159,0.0,0
2602902022885,Guaymas,,25,25.0,23.0,13.0,19.0,0.0,0.0,8.0,15.0,2.09,16.0,0.0,87.0,11.0,7.51,0,0,0,0,0,0,0.565217,0.826087,0.0,0.0,0.347826,0.652174,2.09,0.640186,,0
2602902023510,Guaymas,,1,,,0.0,0.0,0.0,0.0,3.0,0.0,0.89,115.0,102.5,87.0,150.5,10.254999999999999,0,0,0,0,0,0,,,,,,,,,,0
2602902023525,Guaymas,0.0,5,5.0,5.0,3.0,5.0,0.0,0.0,3.0,4.0,2.78,4.0,0.0,0.0,150.5,8.74,0,0,0,0,0,0,0.6,1.0,,0.0,,0.8,2.78,1.036,0.0,0
260290202353A,Guaymas,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2602902023544,Guaymas,,2,,,0.0,0.0,0.0,0.0,3.0,0.0,0.89,115.0,102.5,87.0,150.5,10.254999999999999,0,0,0,0,0,0,,,,,,,,,,0
2602902023559,Guaymas,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2602903251374,Guaymas,88.0,1006,995.0,882.0,239.0,278.0,17.0,22.0,213.0,501.0,1.39,170.0,278.0,140.0,617.0,8.61,2,3,0,0,0,0,0.270975,0.315193,0.019274,0.024943,0.241497,0.568027,1.39,0.404273,0.087475,0
2602903251389,Guaymas,49.0,305,302.0,247.0,20.0,38.0,4.0,0.0,15.0,33.0,0.91,95.0,105.0,84.0,225.0,10.51,0,3,0,0,0,0,0.080972,0.153846,0.016194,,0.060729,0.133603,0.91,0.225891,0.160656,1
2602903252226,Guaymas,103.0,783,766.0,651.0,93.0,287.0,23.0,14.0,120.0,301.0,1.2,173.0,280.0,104.0,531.0,9.25,2,2,0,0,0,0,0.142857,0.44086,0.03533,0.021505,0.184332,0.462366,1.2,0.355321,0.131545,0
2602903252230,Guaymas,90.0,849,826.0,725.0,165.0,393.0,8.0,34.0,184.0,408.0,1.36,159.0,243.0,112.0,531.0,8.87,0,3,0,0,0,0,0.227586,0.542069,0.011034,0.046897,0.253793,0.562759,1.36,0.429163,0.106007,0
2602903252512,Guaymas,0.0,11,11.0,11.0,6.0,11.0,0.0,0.0,3.0,10.0,1.45,8.0,3.0,87.0,5.0,9.46,0,0,0,0,0,0,0.545455,1.0,,,,0.909091,1.45,0.976136,0.0,0
2602903253563,Guaymas,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2603000010023,Hermosillo,,80,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,,,,,,,0.0,0.0,,0
2603000010076,Hermosillo,,2,,,3.0,0.0,0.0,0.0,5.0,0.0,0.86,223.0,218.0,159.0,309.0,10.53,0,0,0,0,0,0,,,,,,,,,,0
2603000010080,Hermosillo,60.0,260,258.0,195.0,0.0,0.0,4.0,3.0,0.0,0.0,1.13,58.0,64.0,53.0,180.0,9.24,0,0,0,0,0,0,0.0,,0.020513,0.015385,0.0,0.0,1.13,0.194316,0.230769,1
2603000010095,Hermosillo,35.0,430,410.0,362.0,3.0,0.0,0.0,3.0,5.0,0.0,1.07,221.0,229.0,137.0,371.0,10.2,0,1,0,0,0,0,,0.0,,0.008287,,0.0,1.07,0.269572,0.081395,0
2603000010108,Hermosillo,8.0,84,83.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,49.0,39.0,74.0,11.65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142857,0.095238,0
2603000010112,Hermosillo,63.0,416,408.0,337.0,3.0,0.0,0.0,0.0,0.0,0.0,0.73,313.0,335.0,295.0,344.0,14.69,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.73,0.121667,0.151442,0
2603000010131,Hermosillo,31.0,341,328.0,289.0,0.0,0.0,0.0,0.0,4.0,0.0,0.61,296.0,299.0,281.0,302.0,15.12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.013841,0.0,0.61,0.08912,0.090909,0
2603000010146,Hermosillo,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2603000010150,Hermosillo,,2,,,3.0,0.0,0.0,0.0,5.0,0.0,0.86,223.0,218.0,159.0,309.0,10.53,0,1,0,0,0,0,,,,,,,,,,0
260300001017A,Hermosillo,,16,13.0,11.0,3.0,0.0,0.0,0.0,4.0,3.0,1.67,223.0,5.0,159.0,12.0,8.14,0,0,0,0,0,0,0.272727,0.0,0.0,0.0,0.363636,0.272727,1.67,0.368441,,0
2603000010199,Hermosillo,53.0,86,82.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,30.0,19.0,7.0,30.0,11.37,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.134286,0.616279,1
2603000010216,Hermosillo,0.0,65,61.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,32.0,29.0,22.0,57.0,10.31,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.99,0.165,0.0,0
2603000010220,Hermosillo,0.0,4,4.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.4,0.0,218.0,0.0,309.0,8.43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,1.4,0.233333,0.0,0
260300001024A,Hermosillo,,1,,,3.0,0.0,0.0,0.0,5.0,0.0,0.86,223.0,218.0,159.0,309.0,10.53,0,0,0,0,0,0,,,,,,,,,,0
2603000010273,Hermosillo,0.0,3,3.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,1.38,0.0,218.0,0.0,309.0,5.83,0,0,0,0,0,0,,0.0,0.0,0.0,,0.0,1.38,0.276,0.0,0
2603000010288,Hermosillo,,9,9.0,7.0,3.0,0.0,0.0,0.0,5.0,0.0,1.32,0.0,218.0,0.0,3.0,8.22,0,0,0,0,0,0,,0.0,0.0,0.0,,0.0,1.32,0.264,,0
2603000010292,Hermosillo,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2603000010305,Hermosillo,4.0,13,13.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,1.45,223.0,5.0,4.0,9.0,9.05,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,1.45,0.29,0.307692,1
260300001031A,Hermosillo,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2603000010324,Hermosillo,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0
2603000010339,Hermosillo,148.0,412,322.0,173.0,4.0,0.0,0.0,0.0,3.0,0.0,0.91,219.0,224.0,160.0,262.0,13.34,0,0,0,0,0,0,0.023121,0.0,0.0,0.0,0.017341,0.0,0.91,0.13578,0.359223,1
2603000010343,Hermosillo,60.0,831,797.0,723.0,3.0,0.0,0.0,0.0,0.0,0.0,0.76,597.0,659.0,548.0,750.0,13.59,0,0,0,0,0,0,0.004149,0.0,0.0,,0.0,0.0,0.76,0.127358,0.072202,0
2603000010358,Hermosillo,67.0,204,191.0,123.0,3.0,0.0,0.0,0.0,0.0,0.0,0.98,68.0,83.0,66.0,131.0,11.12,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,0.98,0.196,0.328431,1
2603000010362,Hermosillo,44.0,170,167.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,122.0,124.0,113.0,124.0,15.17,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.09,0.258824,1
2603000010377,Hermosillo,,3,,,3.0,0.0,0.0,0.0,5.0,0.0,0.86,223.0,218.0,159.0,309.0,10.53,0,0,0,0,0,0,,,,,,,,,,0
2603000010381,Hermosillo,18.0,82,82.0,28.0,3.0,0.0,10.0,0.0,3.0,7.0,1.04,5.0,12.0,5.0,17.0,8.51,0,0,0,0,0,0,0.107143,0.0,0.357143,,0.107143,0.25,1.04,0.310238,0.219512,1
2603000010396,Hermosillo,86.0,477,455.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,328.0,342.0,281.0,383.0,13.52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.11,0.180294,1
2603000010409,Hermosillo,54.0,413,399.0,344.0,3.0,0.0,0.0,3.0,0.0,0.0,1.05,196.0,212.0,115.0,327.0,10.71,2,0,1,0,0,0,,0.0,,0.008721,0.0,0.0,1.05,0.211744,0.130751,0
2603000010413,Hermosillo,4.0,9,9.0,5.0,3.0,0.0,0.0,0.0,3.0,5.0,1.29,0.0,0.0,0.0,309.0,7.33,0,0,0,0,0,0,0.6,0.0,,,0.6,1.0,1.29,0.698,0.444444,1
2603000010428,Hermosillo,,2,,,3.0,0.0,0.0,0.0,5.0,0.0,0.86,223.0,218.0,159.0,309.0,10.53,0,0,0,0,0,0,,,,,,,,,,0
2603000010432,Hermosillo,0.0,36,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,17.0,17.0,6.0,33.0,9.64,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,1.05,0.175,0.0,0
2603000010466,Hermosillo,13.0,138,132.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,114.0,120.0,111.0,120.0,15.87,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.097143,0.094203,0
2603000010470,Hermosillo,48.0,468,459.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,321.0,352.0,287.0,407.0,13.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.117143,0.102564,0
260300001049A,Hermosillo,56.0,495,492.0,413.0,0.0,3.0,4.0,3.0,5.0,0.0,1.13,105.0,171.0,77.0,377.0,9.33,0,0,0,0,0,0,0.0,0.007264,0.009685,0.007264,,0.0,1.13,0.192369,0.113131,0
2603000010502,Hermosillo,54.0,702,698.0,619.0,0.0,0.0,0.0,4.0,0.0,0.0,1.11,400.0,310.0,234.0,581.0,10.26,0,1,0,0,0,0,0.0,0.0,,0.006462,0.0,0.0,1.11,0.186077,0.076923,0
2603000010517,Hermosillo,54.0,887,884.0,791.0,3.0,0.0,0.0,0.0,0.0,0.0,1.05,500.0,455.0,300.0,763.0,10.3,0,0,0,0,0,0,,0.0,,,0.0,0.0,1.05,0.2625,0.060879,0
2603000010521,Hermosillo,125.0,640,631.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1.13,177.0,247.0,140.0,467.0,9.79,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,1.13,0.226,0.195312,1
2603000010536,Hermosillo,3.0,48,48.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,27.0,29.0,19.0,43.0,11.53,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,1.05,0.175,0.0625,0
2603000010540,Hermosillo,6.0,191,165.0,158.0,3.0,0.0,0.0,0.0,0.0,0.0,0.64,179.0,181.0,169.0,184.0,15.62,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.64,0.106667,0.031414,0
2603000010555,Hermosillo,108.0,833,812.0,686.0,3.0,0.0,0.0,0.0,3.0,0.0,1.09,397.0,414.0,253.0,685.0,10.46,0,0,0,0,0,0,0.004373,0.0,,,0.004373,0.0,1.09,0.219749,0.129652,0
260300001056A,Hermosillo,61.0,668,626.0,564.0,3.0,0.0,0.0,0.0,0.0,0.0,0.87,388.0,383.0,223.0,587.0,11.17,0,2,0,0,0,0,,,,,0.0,0.0,0.87,0.29,0.091317,0
2603000010574,Hermosillo,57.0,408,394.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,253.0,270.0,193.0,343.0,12.14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.118571,0.139706,0
